Door Observation data from metasensor 2
Sensor 18 activated at datetime 2020-01-10 09:46:20
Sensor 18 activated at datetime 2020-01-10 09:46:57
Sensor 18 activated at datetime 2020-01-10 09:47:25
Sensor 18 activated at datetime 2020-01-10 09:47:43
Sensor 18 activated at datetime 2020-01-10 09:50:18
Sensor 19 activated at datetime 2020-01-06 08:37:47
Sensor 19 activated at datetime 2020-01-06 08:39:10
Sensor 19 activated at datetime 2020-01-06 08:40:11
Sensor 19 activated at datetime 2020-01-06 08:41:05
Sensor 19 activated at datetime 2020-01-06 08:41:58
Sensor 19 activated at datetime 2020-01-06 08:42:10
Sensor 19 activated at datetime 2020-01-06 08:42:53
Sensor 19 activated at datetime 2020-01-06 08:44:15
Sensor 19 activated at datetime 2020-01-06 08:45:19
Sensor 19 activated at datetime 2020-01-06 08:45:44
Sensor 19 activated at datetime 2020-01-06 08:45:55
Sensor 19 activated at datetime 2020-01-06 08:46:13
Sensor 19 activated at datetime 2020-01-06 08:47:15
Sensor 19 activated at datetime 2020-01-06 08:47:36
Sensor 19 activated at datetime 2020-01-06 08:48:35
Sensor 19 activated at datetime 2020-01-06 08:49:30
Sensor 19 activated at datetime 2020-01-06 08:49:48
Sensor 19 activated at datetime 2020-01-06 08:50:31
Sensor 19 activated at datetime 2020-01-07 08:32:51
Sensor 19 activated at datetime 2020-01-07 08:37:52
Sensor 19 activated at datetime 2020-01-07 08:41:15
Sensor 19 activated at datetime 2020-01-07 08:43:30
Sensor 19 activated at datetime 2020-01-07 08:45:50
Sensor 19 activated at datetime 2020-01-07 08:46:25
Sensor 19 activated at datetime 2020-01-07 08:47:10
Sensor 19 activated at datetime 2020-01-07 08:49:02
Sensor 19 activated at datetime 2020-01-07 09:44:05
Sensor 19 activated at datetime 2020-01-07 09:45:07
Sensor 19 activated at datetime 2020-01-07 09:50:46
Sensor 19 activated at datetime 2020-01-08 08:38:11
Sensor 19 activated at datetime 2020-01-08 08:41:11
Sensor 19 activated at datetime 2020-01-08 08:42:32
Sensor 19 activated at datetime 2020-01-08 08:43:51
Sensor 19 activated at datetime 2020-01-08 08:44:53
Sensor 19 activated at datetime 2020-01-08 08:45:04
Sensor 19 activated at datetime 2020-01-08 08:46:08
Sensor 19 activated at datetime 2020-01-08 08:46:37
Sensor 19 activated at datetime 2020-01-08 08:47:18
Sensor 19 activated at datetime 2020-01-08 08:47:54
Sensor 19 activated at datetime 2020-01-08 08:48:07
Sensor 19 activated at datetime 2020-01-08 08:48:25
Sensor 19 activated at datetime 2020-01-08 08:49:22
Sensor 19 activated at datetime 2020-01-08 08:50:15
Sensor 19 activated at datetime 2020-01-08 08:52:14
Sensor 19 activated at datetime 2020-01-09 08:37:21
Sensor 19 activated at datetime 2020-01-09 08:39:28
Sensor 19 activated at datetime 2020-01-09 08:40:02
Sensor 19 activated at datetime 2020-01-09 08:40:15
Sensor 19 activated at datetime 2020-01-09 08:40:45
Sensor 19 activated at datetime 2020-01-09 08:41:15
Sensor 19 activated at datetime 2020-01-09 08:41:53
Sensor 19 activated at datetime 2020-01-09 08:42:22
Sensor 19 activated at datetime 2020-01-09 08:43:30
Sensor 19 activated at datetime 2020-01-09 08:43:45
Sensor 19 activated at datetime 2020-01-09 08:44:13
Sensor 19 activated at datetime 2020-01-09 08:45:04
Sensor 19 activated at datetime 2020-01-09 08:45:47
Sensor 19 activated at datetime 2020-01-09 08:46:41
Sensor 19 activated at datetime 2020-01-09 08:48:07
Sensor 19 activated at datetime 2020-01-09 08:48:20
Sensor 19 activated at datetime 2020-01-09 08:48:45
Sensor 19 activated at datetime 2020-01-09 08:50:39
Sensor 19 activated at datetime 2020-01-09 08:51:33
Sensor 19 activated at datetime 2020-01-09 10:29:08
Sensor 19 activated at datetime 2020-01-09 10:30:21
Sensor 20 activated at datetime 2020-01-06 08:39:07
Sensor 20 activated at datetime 2020-01-06 08:40:54
Sensor 20 activated at datetime 2020-01-06 08:41:33
Sensor 20 activated at datetime 2020-01-06 08:42:44
Sensor 20 activated at datetime 2020-01-06 08:43:36
Sensor 20 activated at datetime 2020-01-06 08:44:07
Sensor 20 activated at datetime 2020-01-06 08:44:39
Sensor 20 activated at datetime 2020-01-06 08:45:16
Sensor 20 activated at datetime 2020-01-06 08:46:02
Sensor 20 activated at datetime 2020-01-06 08:46:58
Sensor 20 activated at datetime 2020-01-06 08:47:17
Sensor 20 activated at datetime 2020-01-06 08:48:07
Sensor 20 activated at datetime 2020-01-06 08:48:18
Sensor 20 activated at datetime 2020-01-06 08:48:43
Sensor 20 activated at datetime 2020-01-06 08:49:12
Sensor 20 activated at datetime 2020-01-06 08:49:33
Sensor 20 activated at datetime 2020-01-06 08:50:08
Sensor 20 activated at datetime 2020-01-06 08:51:24
Sensor 20 activated at datetime 2020-01-06 08:51:50
Sensor 20 activated at datetime 2020-01-06 08:54:55
Sensor 20 activated at datetime 2020-01-06 13:28:11
Sensor 20 activated at datetime 2020-01-07 08:38:08
Sensor 20 activated at datetime 2020-01-07 08:42:19
Sensor 20 activated at datetime 2020-01-07 08:44:08
Sensor 20 activated at datetime 2020-01-07 08:47:25
Sensor 20 activated at datetime 2020-01-07 08:48:49
Sensor 20 activated at datetime 2020-01-07 08:50:22
Sensor 20 activated at datetime 2020-01-07 08:50:45
Sensor 20 activated at datetime 2020-01-07 08:51:14
Sensor 20 activated at datetime 2020-01-07 08:52:33
Sensor 20 activated at datetime 2020-01-07 08:53:23
Sensor 20 activated at datetime 2020-01-07 09:37:05
Sensor 20 activated at datetime 2020-01-07 09:39:39
Sensor 20 activated at datetime 2020-01-07 09:44:47
Sensor 20 activated at datetime 2020-01-07 09:45:17
Sensor 20 activated at datetime 2020-01-07 09:45:34
Sensor 20 activated at datetime 2020-01-07 09:46:01
Sensor 20 activated at datetime 2020-01-07 09:46:13
Sensor 20 activated at datetime 2020-01-07 09:47:41
Sensor 20 activated at datetime 2020-01-07 09:47:57
Sensor 20 activated at datetime 2020-01-08 08:32:23
Sensor 20 activated at datetime 2020-01-08 08:33:21
Sensor 20 activated at datetime 2020-01-08 08:33:41
Sensor 20 activated at datetime 2020-01-08 08:34:57
Sensor 20 activated at datetime 2020-01-08 08:37:07
Sensor 20 activated at datetime 2020-01-08 08:38:09
Sensor 20 activated at datetime 2020-01-08 08:38:41
Sensor 20 activated at datetime 2020-01-08 08:39:56
Sensor 20 activated at datetime 2020-01-08 08:40:25
Sensor 20 activated at datetime 2020-01-08 08:42:12
Sensor 20 activated at datetime 2020-01-08 08:42:43
Sensor 20 activated at datetime 2020-01-08 08:43:17
Sensor 20 activated at datetime 2020-01-08 08:43:41
Sensor 20 activated at datetime 2020-01-08 08:43:57
Sensor 20 activated at datetime 2020-01-08 08:44:31
Sensor 20 activated at datetime 2020-01-08 08:44:46
Sensor 20 activated at datetime 2020-01-08 08:45:05
Sensor 20 activated at datetime 2020-01-08 08:45:42
Sensor 20 activated at datetime 2020-01-08 08:45:53
Sensor 20 activated at datetime 2020-01-08 08:46:14
Sensor 20 activated at datetime 2020-01-08 08:46:28
Sensor 20 activated at datetime 2020-01-08 08:47:00
Sensor 20 activated at datetime 2020-01-08 08:47:25
Sensor 20 activated at datetime 2020-01-08 08:47:48
Sensor 20 activated at datetime 2020-01-08 08:48:02
Sensor 20 activated at datetime 2020-01-08 08:48:22
Sensor 20 activated at datetime 2020-01-08 08:48:46
Sensor 20 activated at datetime 2020-01-08 08:49:42
Sensor 20 activated at datetime 2020-01-08 08:50:01
Sensor 20 activated at datetime 2020-01-08 08:50:34
Sensor 20 activated at datetime 2020-01-08 08:51:26
Sensor 20 activated at datetime 2020-01-08 08:51:52
Sensor 20 activated at datetime 2020-01-08 10:41:47
Sensor 20 activated at datetime 2020-01-08 10:46:16
Sensor 20 activated at datetime 2020-01-09 08:37:23
Sensor 20 activated at datetime 2020-01-09 08:40:07
Sensor 20 activated at datetime 2020-01-09 08:40:51
Sensor 20 activated at datetime 2020-01-09 08:43:10
Sensor 20 activated at datetime 2020-01-09 08:44:23
Sensor 20 activated at datetime 2020-01-09 08:45:16
Sensor 20 activated at datetime 2020-01-09 08:46:25
Sensor 20 activated at datetime 2020-01-09 08:47:14
Sensor 20 activated at datetime 2020-01-09 08:48:05
Sensor 20 activated at datetime 2020-01-09 08:48:56
Sensor 20 activated at datetime 2020-01-09 08:51:52
Sensor 20 activated at datetime 2020-01-09 08:52:53
Sensor 20 activated at datetime 2020-01-09 09:09:50
Sensor 20 activated at datetime 2020-01-09 09:49:46
Sensor 20 activated at datetime 2020-01-09 11:22:52
Sensor 20 activated at datetime 2020-01-10 09:35:48
Sensor 20 activated at datetime 2020-01-10 09:36:50
Sensor 20 activated at datetime 2020-01-10 09:38:54
Sensor 20 activated at datetime 2020-01-10 09:40:20
Sensor 20 activated at datetime 2020-01-10 09:41:54
Sensor 20 activated at datetime 2020-01-10 09:43:03
Sensor 20 activated at datetime 2020-01-10 09:47:49
Sensor 20 activated at datetime 2020-01-10 09:48:30
Sensor 20 activated at datetime 2020-01-10 09:48:55
Sensor 20 activated at datetime 2020-01-10 09:50:11
